freq,indic_bt,nace_r2,s_adj,unit,geo\TIME_PERIOD	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
A,EMP,F,NSA,I10,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	76.9 	76.7 	74.1 	97.3 	103.7 	100.0 	91.2 	94.2 	88.6 	103.9 	115.8 	123.0 	: 	: 	: 	: 	: 	: 	: 
A,EMP,F,NSA,I10,AT	: 	: 	: 	: 	: 	: 	102.1 	101.1 	109.5 	104.8 	103.3 	97.9 	94.5 	98.5 	97.8 	96.7 	97.3 	99.1 	98.2 	101.0 	100.0 	102.2 	104.0 	103.9 	102.4 	100.9 	101.0 	103.3 p	: 	: 	: 	: 	: 	: 
A,EMP,F,NSA,I10,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	63.2 	83.4 	83.4 	88.2 	86.2 	87.9 	91.5 	95.6 	98.8 	98.7 	100.0 	102.4 	103.3 	102.3 	100.8 	100.2 	101.9 p	: 	: 	: 	: 	: 	: 	: 
A,EMP,F,NSA,I10,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	59.4 	57.1 	57.4 	62.9 	72.7 	87.4 	100.7 	111.6 	144.0 	129.0 	100.0 	88.7 	81.9 	78.7 	81.9 	74.9 p	71.4 p	70.3 p	: 	: 	: 	: 	: 	: 
A,EMP,F,NSA,I10,CH	: 	: 	: 	: 	: 	: 	: 	: 	89.1 	88.0 	89.0 	90.1 	90.2 	90.3 	90.3 	91.6 	93.5 	96.8 	98.0 	98.0 	100.0 	100.7 	102.6 	104.1 	105.0 	105.1 	103.9 	103.5 	: 	: 	: 	: 	: 	: 
A,EMP,F,NSA,I10,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	63.4 	66.1 	69.2 	76.0 	80.5 	85.4 	89.8 	97.4 	109.0 	104.9 	100.0 	94.2 	81.0 	64.7 	58.6 	58.6 	62.0 	: 	: 	: 	: 	: 	: 	: 
A,EMP,F,NSA,I10,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	98.3 	97.5 	93.9 	94.8 	96.7 	97.2 	99.2 	100.4 	101.3 	99.1 	100.0 	97.7 	97.0 	92.3 	90.7 	92.4 	90.5 	: 	: 	: 	: 	: 	: 	: 
A,EMP,F,NSA,I10,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	138.2 i	125.7 i	115.9 i	107.2 i	101.0 i	94.4 	94.6 	96.1 	96.8 	98.0 	100.0 	103.5 	104.6 	105.7 	107.2 	107.0 	108.1 	109.7 p	: 	: 	: 	: 	: 	: 
A,EMP,F,NSA,I10,DK	: 	: 	: 	: 	: 	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	124.6 	110.2 	100.0 	100.6 	100.7 	99.2 	102.1 	105.4 	109.2 	112.9 p	: 	: 	: 	: 	: 	: 
A,EMP,F,NSA,I10,EA19	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100.5 	101.9 	102.3 	103.4 	105.1 	107.0 	110.4 	115.6 	114.0 	105.0 	100.0 	96.2 	91.7 	87.4 	85.7 	84.8 	84.8 	86.3 i	: 	: 	: 	: 	: 	: 
A,EMP,F,NSA,I10,EE	: 	: 	: 	: 	: 	: 	: 	: 	91.9 	87.1 	86.4 	83.6 	89.8 	93.1 	99.6 	108.2 	124.4 	145.0 	145.7 	122.4 	100.0 	100.2 	112.3 	112.6 	109.3 	116.5 	115.1 	122.0 	: 	: 	: 	: 	: 	: 
A,EMP,F,NSA,I10,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	85.2 	87.1 	90.6 	98.2 	99.5 	106.4 	105.2 	108.0 	112.3 	110.9 	100.0 	82.8 	77.6 	77.8 	91.3 	68.9 	81.7 	85.6 	: 	: 	: 	: 	: 	: 
A,EMP,F,NSA,I10,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	104.4 	113.7 	120.0 	127.4 	136.6 	142.9 	154.1 	163.5 	149.0 	114.5 	100.0 	85.0 	70.3 	62.4 	60.2 	65.0 	65.0 	68.3 	: 	: 	: 	: 	: 	: 
A,EMP,F,NSA,I10,EU28	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100.8 	101.4 	100.5 	100.6 	101.7 	104.6 	108.5 	113.3 	113.3 	105.7 	100.0 	97.5 	94.5 	90.6 	89.3 	88.9 	89.4 	91.1 i	: 	: 	: 	: 	: 	: 
A,EMP,F,NSA,I10,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	86.3 	84.1 	85.8 	88.4 	86.9 	93.8 	96.3 	102.6 	108.0 	101.9 	100.0 	102.4 	102.1 	102.4 	98.1 	97.7 	102.6 	107.6 	: 	: 	: 	: 	: 	: 
A,EMP,F,NSA,I10,FR	95.2 	94.4 	91.2 	86.1 	84.5 	84.5 	81.8 	80.0 	80.0 	81.7 	85.1 	87.7 	88.4 	88.7 	90.5 	93.0 	97.3 	101.6 	104.0 	101.9 	100.0 	99.3 	98.5 	96.6 	94.3 	91.3 	90.2 	90.4 	: 	: 	: 	: 	: 	: 
A,EMP,F,NSA,I10,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	71.9 	72.5 	79.2 	86.4 	90.5 	94.1 	103.7 	110.7 	118.9 	115.3 	100.0 	92.5 	85.4 	81.1 	79.1 	75.4 	77.9 	75.0 p	: 	: 	: 	: 	: 	: 
A,EMP,F,NSA,I10,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100.6 	101.9 	105.0 	107.0 	112.5 	115.5 	123.0 	114.4 	108.5 	99.8 	100.0 	98.2 	95.6 	92.5 	94.3 	95.4 p	98.8 p	102.4 p	: 	: 	: 	: 	: 	: 
A,EMP,F,NSA,I10,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	136.6 	147.1 	149.9 	156.1 	171.9 	198.0 	218.7 	227.2 	207.6 	128.3 	98.0 	99.1 	91.6 	89.5 	98.4 	113.9 	129.4 	: 	: 	: 	: 	: 	: 	: 
A,EMP,F,NSA,I10,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	199.2 p	119.6 p	100.0 p	92.1 p	90.6 p	97.0 p	104.8 p	115.2 p	134.8 p	157.7 p	: 	: 	: 	: 	: 	: 
A,EMP,F,NSA,I10,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: 	: 	: 	: 	: 	: 
A,EMP,F,NSA,I10,LT	: 	: 	: 	: 	: 	: 	: 	: 	103.6 	96.5 	82.1 	80.7 	92.6 	100.6 	104.8 	109.1 	120.3 	143.1 	154.7 	121.6 	100.0 	103.8 	103.8 	105.2 	110.8 	116.2 	110.7 	112.7 	: 	: 	: 	: 	: 	: 
A,EMP,F,NSA,I10,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	91.3 	94.5 	97.3 	98.5 	99.0 	99.8 	101.0 	101.2 	102.1 	100.5 	100.0 	98.6 	96.8 	94.1 	94.3 	93.9 	95.2 	98.2 	: 	: 	: 	: 	: 	: 
A,EMP,F,NSA,I10,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	87.3 	91.5 	94.1 	100.1 	114.0 	131.4 	152.9 	196.0 	194.3 	123.2 	100.0 	108.9 	120.2 	132.5 	132.6 	129.8 	120.6 	: 	: 	: 	: 	: 	: 	: 
A,EMP,F,NSA,I10,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	85.4 e	85.6 e	78.0 e	82.5 e	87.1 e	95.7 e	86.7 e	84.1 e	111.7 e	126.5 e	100.0 	100.3 	104.2 	105.5 	112.4 	115.9 	126.0 	133.5 	: 	: 	: 	: 	: 	: 
A,EMP,F,NSA,I10,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	108.3 	99.2 	98.5 	100.0 	110.3 	106.5 	136.4 	146.4 	161.5 	173.3 	168.2 	: 	: 	: 	: 	: 	: 
A,EMP,F,NSA,I10,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	120.2 	127.9 	138.0 	132.8 	123.4 	113.1 	113.4 	119.3 	116.3 	108.1 	100.0 	95.1 	91.6 	84.6 	85.2 	93.8 	94.7 p	94.1 p	: 	: 	: 	: 	: 	: 
A,EMP,F,NSA,I10,NL	: 	: 	: 	: 	: 	100.2 	101.5 	104.2 	106.5 	109.9 	113.0 	115.2 	113.8 	108.6 	105.2 	104.1 	104.2 	105.6 	106.2 	103.6 	100.0 	98.1 	94.3 	86.1 	81.1 	79.6 	79.3 p	: @C	: 	: 	: 	: 	: 	: 
A,EMP,F,NSA,I10,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	71.9 	73.6 	75.6 	80.9 	82.9 	86.9 	94.4 	103.1 	106.0 	101.5 	100.0 	103.7 	109.5 	112.7 	115.3 	118.1 	121.8 p	127.3 p	: 	: 	: 	: 	: 	: 
A,EMP,F,NSA,I10,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	119.3 	109.9 	97.8 	82.9 	74.3 	80.6 	84.8 	91.1 	95.0 	98.7 	100.0 	107.6 	109.6 	101.8 	94.3 	89.0 	88.1 	90.1 	: 	: 	: 	: 	: 	: 
A,EMP,F,NSA,I10,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	143.0 	148.0 	147.9 	136.9 	133.2 	142.8 	134.6 	128.6 	122.9 	110.6 	100.0 	89.3 	76.7 	64.6 	59.1 	56.6 	54.3 	55.5 	: 	: 	: 	: 	: 	: 
A,EMP,F,NSA,I10,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	105.4 p	108.1 p	102.3 p	106.5 p	102.4 p	113.5 p	114.7 p	129.3 p	138.9 p	117.4 	100.0 	99.4 	106.9 	104.2 	101.9 	107.7 	113.1 	112.0 	: 	: 	: 	: 	: 	: 
A,EMP,F,NSA,I10,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	123.8 e	124.2 e	123.4 e	122.6 e	123.1 e	125.8 e	126.0 e	126.5 e	128.0 e	110.8 e	100.0 e	95.8 e	91.1 e	86.1 e	82.5 e	81.8 	81.8 	82.8 p	: 	: 	: 	: 	: 	: 
A,EMP,F,NSA,I10,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	79.3 	82.2 	81.5 	81.7 	80.2 	82.2 	88.3 	94.9 	99.6 	100.6 	100.0 	107.7 	112.2 	112.9 	113.1 	118.1 	124.4 	128.9 	: 	: 	: 	: 	: 	: 
A,EMP,F,NSA,I10,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	81.5 	81.9 	81.5 	81.0 	79.7 	83.5 	88.5 	99.8 	112.0 	110.5 	97.0 	86.1 	78.2 	69.1 	68.7 	69.1 	68.6 	71.0 	: 	: 	: 	: 	: 	: 
A,EMP,F,NSA,I10,SK	: 	: 	: 	: 	: 	85.3 p	83.2 p	83.3 p	84.2 p	76.2 p	70.4 	68.7 	69.8 	72.6 	74.5 	79.7 	87.1 	92.3 	100.7 	102.7 	100.0 	96.4 	92.0 	88.3 	87.3 	86.6 	87.7 	89.8 p	: 	: 	: 	: 	: 	: 
A,EMP,F,NSA,I10,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	110.6 	127.5 	128.0 	121.1 	97.5 	100.0 	102.8 	104.0 	98.5 	87.2 	80.0 	73.9 	67.1 	: 	: 	: 	: 	: 	: 
A,EMP,F,NSA,I10,UK	: 	: 	: 	: 	: 	: 	81.7 	89.3 	98.1 	99.6 	103.1 	104.1 	102.6 	102.8 	105.5 	110.0 	114.2 	114.8 	114.8 	111.5 	100.0 	98.0 	96.6 	96.6 	100.1 	103.9 	106.6 	: 	: 	: 	: 	: 	: 	: 
A,EMP,F,NSA,I15,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	66.4 	66.2 	64.0 	84.1 	89.6 	86.4 	78.8 	81.3 	76.6 	89.8 	100.0 	106.2 	109.2 	113.5 	115.8 	118.9 	123.0 	126.8 	: 
A,EMP,F,NSA,I15,AT	: 	: 	: 	: 	: 	: 	101.2 	100.2 	108.5 	103.8 	102.4 	97.0 	93.6 	97.6 	96.9 	95.8 	96.4 	98.2 	97.3 	100.1 	99.1 	101.3 	103.1 	103.0 	101.4 	100.0 	100.3 	103.1 	107.7 	113.2 	115.1 	119.5 	122.2 	120.6 p
A,EMP,F,NSA,I15,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	80.8 	83.2 	83.2 	88.0 	86.0 	87.7 	91.3 	95.3 	98.6 	98.5 	99.8 	102.2 	103.1 	102.0 	100.6 	100.0 	101.4 	103.6 	106.4 	109.2 	108.0 	112.6 	116.2 p	: 
A,EMP,F,NSA,I15,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	73.8 	71.0 	71.4 	78.2 	90.5 	108.7 	125.3 	138.8 	179.0 	160.5 	124.4 	110.3 	101.9 	97.9 	101.8 	100.0 	95.8 	99.4 	100.2 	103.2 	101.5 	101.0 	90.2 p	92.2 p
A,EMP,F,NSA,I15,CH	: 	: 	: 	: 	: 	: 	: 	: 	84.6 e	83.6 e	84.5 e	85.5 e	85.6 e	85.8 e	85.8 e	87.0 e	88.8 e	91.9 e	93.1 e	93.1 e	94.9 e	95.6 e	97.4 e	98.8 e	99.7 e	100.0 e	99.8 e	100.4 e	101.6 e	103.2 e	103.2 e	103.6 e	105.8 e	106.6 e
A,EMP,F,NSA,I15,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	110.4 	115.2 	120.9 	132.9 	140.6 	149.2 	157.3 	169.9 	189.9 	183.1 	175.2 	164.3 	140.4 	111.7 	100.5 	100.0 	108.0 	124.2 	141.5 	155.1 	161.0 	166.1 	170.3 	: 
A,EMP,F,NSA,I15,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	106.5 	105.5 	101.7 	102.6 	104.7 	105.2 	107.4 	108.6 	109.7 	107.3 	108.2 	105.8 	105.0 	99.9 	98.2 	100.0 	97.3 	98.6 	100.0 	101.8 	102.3 	106.9 	98.3 	: 
A,EMP,F,NSA,I15,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	130.4 	119.8 	110.4 	101.0 	93.9 	88.2 	88.4 	89.8 	90.4 	91.6 	93.4 	96.7 	97.7 	98.8 	100.2 	100.0 	101.4 	103.7 	105.8 	107.7 	109.1 	110.7 	111.6 	: 
A,EMP,F,NSA,I15,DK	: 	: 	: 	: 	: 	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	131.5 	116.2 	105.5 	106.1 	106.0 	94.3 	96.8 	100.0 	103.9 	107.8 	112.1 	114.2 	117.7 	122.9 	127.0 	: 
A,EMP,F,NSA,I15,EA19	: 	: 	: 	: 	: 	: 	: 	: 	118.2 i	118.7 i	120.8 i	121.0 i	120.8 i	121.7 i	123.1 i	124.8 	128.6 	134.3 	132.4 	122.2 	116.5 	112.5 	107.4 	102.7 	100.8 	100.0 	100.6 	102.6 	105.9 	108.4 	109.0 	112.2 	115.3 	116.4 i
A,EMP,F,NSA,I15,EA20	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	120.4 i	120.6 i	120.5 i	121.6 i	123.0 i	124.7 	128.6 	134.4 	132.6 	122.5 	116.7 	112.6 	107.5 	102.7 	100.8 	100.0 	100.5 	102.6 	105.9 	108.5 	109.1 	112.4 	115.5 	116.6 i
A,EMP,F,NSA,I15,EE	: 	: 	: 	: 	: 	: 	: 	: 	78.9 	74.7 	74.2 	71.7 	77.1 	79.9 	85.4 	92.8 	106.8 	124.4 	125.0 	105.0 	85.8 	86.0 	96.3 	96.7 	93.8 	100.0 	98.8 	105.1 	110.4 	114.3 	108.5 	114.9 	121.1 	: 
A,EMP,F,NSA,I15,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	123.8 	126.5 	131.6 	142.7 	144.5 	154.5 	152.8 	156.8 	163.1 	161.0 	145.3 	120.3 	112.7 	113.0 	132.6 	100.0 	118.6 	124.3 	131.2 	105.4 	95.1 	79.7 	77.0 	: 
A,EMP,F,NSA,I15,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	160.6 	174.9 	184.6 	195.9 	210.0 	219.7 	237.0 	251.4 	229.1 	176.0 	153.8 	130.8 	108.2 	95.9 	92.5 	100.0 	100.0 	105.1 	113.8 	119.0 	115.9 	120.3 	123.1 	126.8 
A,EMP,F,NSA,I15,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	117.4 i	116.8 i	115.3 i	115.0 i	115.5 i	118.2 	122.4 	128.2 	128.3 	119.4 	113.8 	111.3 	107.7 	102.8 	100.7 	100.0 	100.7 	102.7 	106.4 	109.6 	110.3 	113.5 	115.9 	116.9 i
A,EMP,F,NSA,I15,EU28	: 	: 	: 	: 	: 	: 	104.5 i	107.0 i	111.6 i	112.6 i	115.3 	115.0 	113.6 	113.1 	113.9 	117.0 	121.1 	126.3 	126.3 	117.9 	111.8 	109.3 	105.9 	101.7 	100.2 	100.0 	100.9 	103.3 	106.3 	109.1 	: 	: 	: 	: 
A,EMP,F,NSA,I15,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	87.0 	84.8 	86.4 	89.1 	87.5 	94.5 	97.0 	103.4 	108.9 	102.7 b	101.1 	103.8 	103.1 	103.5 	100.1 	100.0 	105.0 	110.3 	116.3 	112.8 	112.8 	109.3 	106.2 	105.4 
A,EMP,F,NSA,I15,FR	104.7 	103.9 	100.3 	94.7 	93.0 	92.9 	89.9 	87.9 	87.9 	89.7 	93.4 	96.3 	97.0 	97.4 	99.3 	102.1 	106.8 	111.5 	114.1 	111.8 	109.8 	109.0 	108.2 	106.1 	103.6 	100.0 	98.9 	99.5 	101.6 	105.4 	108.6 	113.4 	115.1 p	114.9 p
A,EMP,F,NSA,I15,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	91.2 	91.2 	100.5 	109.6 	114.8 	119.5 	131.6 	140.4 	150.9 	146.3 	126.9 	117.4 	108.4 	102.9 	100.4 	100.0 	98.8 	102.3 	107.6 	115.3 	123.1 	128.9 	134.3 	: 
A,EMP,F,NSA,I15,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	105.4 	106.8 	110.0 	112.1 	117.9 	121.0 	128.8 	119.9 	113.7 	104.5 	104.8 	102.9 	100.2 	96.9 	98.8 	100.0 	103.5 	107.3 	117.1 	139.2 	137.0 	145.0 	152.0 	149.7 
A,EMP,F,NSA,I15,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	120.1 	129.3 	131.7 	137.2 	151.1 	174.0 	192.1 	199.6 	182.5 	124.8 	89.1 	82.1 	76.0 	76.3 	85.2 	100.0 	114.2 	123.6 	138.6 	146.0 	139.1 	143.4 	169.7 	: 
A,EMP,F,NSA,I15,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	173.3 	104.0 	87.0 	80.0 	78.7 	84.3 	91.1 	100.0 	117.0 	136.8 	150.5 	153.9 	142.6 	150.1 	168.7 	: 
A,EMP,F,NSA,I15,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	102.3 	105.7 	110.0 	118.7 	125.0 	127.2 	128.7 	138.3 	138.9 	134.1 	130.0 	126.0 	119.4 	109.4 	103.3 	100.0 	99.7 	98.2 	98.3 	99.4 	101.4 	108.1 	116.9 p	119.0 p
A,EMP,F,NSA,I15,LT	: 	: 	: 	: 	: 	: 	: 	: 	89.2 	83.1 	70.6 	69.4 	79.7 	86.6 	90.2 	93.8 	103.5 	123.2 	133.1 	104.7 	86.1 	89.4 	89.4 	90.5 	95.4 	100.0 	95.3 	96.9 	101.1 	103.0 	101.8 	103.8 	101.1 	: 
A,EMP,F,NSA,I15,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	97.2 	100.5 	103.5 	104.9 	105.4 	106.3 	107.5 	107.7 	108.7 	107.0 	106.4 	105.0 	103.1 	100.1 	100.4 	100.0 	101.6 	104.8 	107.1 	109.7 	106.1 	106.4 	106.5 	: 
A,EMP,F,NSA,I15,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	67.3 	70.5 	72.5 	77.1 	87.8 	101.3 	117.8 	151.0 	149.7 	94.9 	77.0 	83.9 	92.6 	102.1 	102.2 	100.0 	92.9 	96.9 	104.1 	108.0 	104.6 	104.8 	100.2 	: 
A,EMP,F,NSA,I15,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	73.7 e	73.8 e	67.3 e	71.2 e	75.1 e	82.6 e	74.8 e	72.6 e	96.4 e	109.1 e	86.3 	86.6 	89.9 	91.0 	97.0 	100.0 	108.8 	115.3 	129.6 	150.9 	119.7 	136.4 	167.7 	: 
A,EMP,F,NSA,I15,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	67.1 	61.4 	61.0 	61.9 	68.3 	66.0 	84.4 	90.6 	100.0 	107.3 	104.1 	99.0 	89.1 	86.2 	87.0 	81.0 	: 
A,EMP,F,NSA,I15,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	128.1 	136.3 	147.1 	141.6 	131.5 	120.6 	120.8 	127.2 	123.9 	115.2 	106.6 	101.4 	97.7 	90.2 	90.8 	100.0 	101.4 	86.0 	85.1 	90.3 	95.0 	95.2 p	96.1 p	: 
A,EMP,F,NSA,I15,NL	: 	: 	: 	: 	: 	125.8 	127.4 	130.8 	133.7 	137.9 	141.9 	144.5 	142.9 	136.3 	132.0 	130.7 	130.9 	132.6 	133.4 	130.1 	125.6 	123.2 	118.5 	108.1 	101.9 	100.0 	99.7 	102.7 	106.3 	109.9 	112.1 	114.9 	118.0 p	: @C
A,EMP,F,NSA,I15,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	62.1 	63.4 	64.9 	69.1 	70.5 	73.8 	80.0 	87.4 	89.8 	86.0 	84.7 	87.9 	92.8 	95.6 	97.7 	100.0 	102.7 	107.0 	110.8 	114.2 	113.9 	114.4 p	120.1 p	: 
A,EMP,F,NSA,I15,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	134.1 	123.6 	110.0 	93.1 	83.5 	90.6 	95.4 	102.3 	106.9 	111.0 	112.4 	120.9 	123.2 	114.5 	106.0 	100.0 	99.1 	101.3 	105.7 	111.0 	111.4 	110.8 	111.7 	109.6 
A,EMP,F,NSA,I15,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	252.6 	261.6 	261.3 	241.8 	235.3 	249.3 	235.0 	224.3 	215.0 	194.0 	175.8 	157.4 	135.2 	113.7 	104.2 	100.0 	96.3 	97.9 	100.2 	102.4 	101.8 	103.4 	106.1 	111.3 
A,EMP,F,NSA,I15,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	97.9 	100.4 	95.0 	98.9 	95.1 	105.4 	106.5 	120.1 	129.0 	109.1 	92.9 	92.3 	99.3 	96.8 	94.6 	100.0 	105.0 	104.1 	110.6 	116.3 	120.2 	126.4 	129.5 	132.3 
A,EMP,F,NSA,I15,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	151.3 	151.8 	150.8 	149.9 	150.6 	153.8 	154.0 	154.6 	156.5 	135.4 	122.3 	117.2 	111.3 	105.3 	100.9 	100.0 	100.0 	101.2 	109.3 	119.9 	130.8 	137.1 	139.5 	142.2 p
A,EMP,F,NSA,I15,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	67.2 	69.6 	69.1 	69.2 	67.9 	69.6 	74.8 	80.4 	84.4 	85.2 	84.7 	91.2 	96.1 	95.6 	96.5 	100.0 	105.4 	109.2 	114.9 	117.7 	119.0 	121.3 	125.2 	126.8 
A,EMP,F,NSA,I15,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	117.8 	116.5 	117.9 	117.2 	115.3 	120.8 	127.9 	144.3 	161.9 	159.8 	144.6 	124.9 	110.1 	99.9 	99.4 	100.0 	99.2 	102.6 	107.5 	117.6 	120.5 	125.8 	135.6 	140.5 
A,EMP,F,NSA,I15,SK	: 	: 	: 	: 	: 	98.5 	96.1 	96.2 	97.2 	88.0 	81.2 	79.3 	80.6 	83.8 	86.1 	92.0 	100.6 	106.6 	116.3 	118.6 	115.5 	111.3 	106.3 	102.0 	100.8 	100.0 	101.2 	103.7 	107.2 	114.1 	107.3 	103.2 	105.1 	106.7 p
